Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,272910.KS,277630.KS,IMTB,QQQM,SPY,272910.KS,277630.KS,IMTB,QQQM,SPY,272910.KS,277630.KS,IMTB,QQQM,SPY,272910.KS,277630.KS,IMTB,QQQM,SPY,272910.KS,277630.KS,IMTB,QQQM,SPY
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-15,94325.0,23388.765625,38.34397888183594,117.2148208618164,373.8997802734375,94715.0,23535.211137901435,38.46910356902535,119.40739663077336,379.4969641524106,94325.0,23365.14538098364,38.28582489357364,116.58837064211441,372.61549763585055,94715.0,23535.211137901435,38.41799488215591,118.36004946959575,376.6216966581532,9.0,14694.0,13200.0,758000.0,87633800.0
2022-09-16,94165.0,23143.11328125,38.30785369873047,116.41218566894531,371.04736328125,94165.0,23284.834734288885,38.3210737235093,116.66668341450588,371.71139375163744,94100.0,23081.70065159982,38.285827046715305,115.03203257312273,367.7272109293128,94100.0,23218.698056204074,38.285827046715305,115.82488949816216,369.68082910225274,3.0,44094.0,2600.0,711600.0,103084800.0
2022-09-19,94050.0,22911.6328125,38.27701187133789,117.43717956542969,373.9248046875,94240.0,23147.835212628866,38.30432922100824,117.44698267794159,373.9248046875,94050.0,22864.392332474228,38.25938853378139,115.41662337746824,367.7945788352634,94240.0,23147.835212628866,38.284944558088476,115.44604768158797,367.87158404857314,12.0,22324.0,6400.0,566400.0,73278500.0
2022-09-20,94035.0,22991.943359375,38.100799560546875,116.48576354980469,369.6326599121094,94190.0,23157.28505191211,38.10960955198747,117.41756818011308,371.5862485386399,94035.0,22977.77121430039,38.024138181384124,115.54414832287303,366.85145620574264,94190.0,23133.664810121096,38.06555287216609,116.38768003345,370.5661498096465,2.0,11292.0,15300.0,377000.0,77274900.0
2022-09-21,93690.0,22836.048828125,38.17128372192383,114.39653778076172,363.1849060058594,93810.0,22987.21836939517,38.227676397898996,118.56515046204161,374.6562160691355,93690.0,22774.636201983994,37.933373653804004,114.34749976860418,363.175273011751,93810.0,22987.21836939517,38.0655470343068,116.90751897859472,371.576653580682,3.0,245526.0,11300.0,1427900.0,106746600.0
2022-09-22,93310.0,22684.87890625,37.765960693359375,112.99392700195312,360.1341552734375,93550.0,22703.775098591734,37.87610406758811,114.16114099985641,364.06056891497684,93310.0,22467.572694320075,37.75714734108802,112.4838882494842,359.3835160756926,93550.0,22590.39794454134,37.87610406758811,113.75899635559496,362.4053094829139,2.0,18579.0,5600.0,869500.0,89472600.0
2022-09-23,92690.0,22283.3359375,37.536861419677734,111.22838592529297,354.1001892089844,92790.0,22755.74076975567,37.669034816188,112.04249318050479,356.66967262332145,92690.0,22245.543550919545,37.44874806287696,109.74730040415803,349.6155904218561,92790.0,22755.74076975567,37.669034816188,111.99344768964481,356.63117002009596,13.0,71626.0,14700.0,1629900.0,122346900.0
2022-09-26,92085.0,21617.24609375,36.9200325012207,110.56141662597656,350.59722900390625,92335.0,21999.89402504234,37.40466230953659,112.729094295204,356.2751448588361,92085.0,21574.72965693974,36.9200325012207,110.38486332116976,349.3654098714168,92335.0,21966.825685301028,37.36941564969015,110.9537581348019,352.6181900692568,5.0,29132.0,17000.0,842500.0,92581200.0
2022-09-27,92210.0,21640.8671875,36.88919448852539,110.75758361816406,349.7022705078125,92210.0,21673.935528541806,36.964091123727755,113.02335227664574,356.45802499081617,91440.0,21390.492605326348,36.77905119159015,109.83558967838148,347.2867382764259,91440.0,21593.626700297424,36.92003447721499,112.1013508535713,354.16760421874415,4.0,10959.0,36400.0,947300.0,108294100.0
2022-09-28,91965.0,21121.21875,37.49191665649414,113.00373840332031,356.5830993652344,91965.0,21579.451409080742,37.49279731930454,113.45492854845173,358.28646527465287,91670.0,20955.877068888392,37.21964395050938,110.12984732929151,348.95159482959764,91920.0,21503.866640572578,37.24607728005512,110.70855277591797,350.66459373300376,12.0,58322.0,7900.0,1202800.0,110802200.0
2022-09-29,92225.0,21149.56640625,37.360633850097656,109.79635620117188,349.1344299316406,92600.0,21522.766260190976,37.38706718427045,111.43437397688885,353.2918008740039,92225.0,21149.56640625,37.29454715335665,108.46239954411237,346.16074244160404,92600.0,21456.629577214095,37.30776382044305,111.27743437803858,353.00310475609075,65.0,6634.0,15700.0,1324000.0,112952300.0
2022-09-30,92350.0,21040.908203125,37.228450775146484,107.84446716308594,343.73553466796875,92430.0,21244.042251785617,37.49279413205749,111.01261632754166,352.1369430771084,92350.0,20856.670345037466,37.228450775146484,107.75619424470639,343.60081961938636,92400.0,20993.6677266923,37.44873746612368,109.30593922257124,348.1816305421331,8.0,43500.0,15600.0,1200100.0,153711200.0
2022-10-03,,,37.52707290649414,110.37506103515625,352.81060791015625,,,37.796543632804074,111.00280450321986,354.6775877198943,,,37.42547117905913,107.96217067666944,345.6891533686318,,,37.46081237569827,108.64876275633513,347.48876096374755,,,44800.0,1097500.0,89756500.0
2022-10-04,93090.0,21527.486328125,37.772701263427734,113.86687469482422,363.7430419921875,93090.0,21579.450855140443,37.84956822358823,114.10032346405147,363.7719116040674,92905.0,21267.663693047783,37.725877363857,112.57215297383905,352.77214894457154,92905.0,21395.212986631144,37.725877363857,112.57215297383905,358.3826922250454,2.0,5573.0,17900.0,1051200.0,103602800.0
2022-10-05,92845.0,21584.177734375,37.5049934387207,113.7393798828125,362.8961486816406,93185.0,21980.9978109098,37.55800187219433,114.49463867160419,365.17693605010476,92845.0,21484.9727152413,37.37246561439147,111.15974674156566,356.9872764874849,93185.0,21976.273762379624,37.460818620718484,112.2484909817149,359.33543607103087,12.0,14885.0,35000.0,798500.0,88065700.0
2022-10-06,92785.0,21834.55078125,37.33447265625,112.91545867919922,359.152587890625,92785.0,21933.75579345386,37.47848315924974,114.63194623978058,364.46480191672816,92515.0,21664.485046043377,37.328288114767524,112.74870848601235,358.65214213957154,92515.0,21664.485046043377,37.47848315924974,113.34702760579262,361.481481503714,7522.0,10652.0,12900.0,844900.0,82333500.0
2022-10-07,92455.0,21744.79296875,37.15599060058594,108.5506820678711,349.1344299316406,92455.0,21848.722024868293,37.2222544841335,110.97338308577926,359.23920522295987,92455.0,21626.691768615576,37.116230922328945,108.05045388964886,347.35405888748875,92455.0,21640.863912631707,37.116230922328945,110.92433758597271,355.0818049117138,1.0,2641.0,13300.0,1635900.0,107789500.0
2022-10-10,,,36.93071365356445,107.44232177734375,346.4687194824219,,,37.08091209119686,108.73704362116287,350.5010088685735,,,36.90420943470344,106.38300186423017,344.2071977421837,,,37.08091209119686,108.65857381649687,350.2604189499195,,,18100.0,987600.0,76042800.0
2022-10-11,92030.0,21347.974609375,37.0411491394043,106.0887451171875,344.27447509765625,92045.0,21385.76699637987,37.107413051059986,107.95235422761282,349.36536503107385,91975.0,21210.977206482352,36.97577162257926,105.32367579137696,342.32088650462964,92045.0,21385.76699637987,37.063238233397044,106.80476146383504,344.7556548434153,17.0,43361.0,17700.0,1381800.0,92482800.0
2022-10-12,92840.0,21480.248046875,36.988121032714844,106.03970336914062,343.1389465332031,92840.0,21499.144240450434,37.05438153880466,107.03036405107038,346.27624831782265,91970.0,21262.941820757504,36.8529442077784,105.71602104485284,342.888723631936,92065.0,21333.802546665385,36.886515972842524,106.35357509724906,344.68836080575585,8.0,67233.0,19800.0,824400.0,76991800.0
2022-10-13,92425.0,21073.98046875,36.84235382080078,108.44277954101562,352.1946716308594,92750.0,21423.56005957885,37.036723655895116,108.9920606597191,353.676713333672,92425.0,21073.98046875,36.51545618740956,102.61653531075157,335.00691743414166,92750.0,21423.56005957885,36.54196039894017,102.95002073702508,336.0655186504364,27.0,78040.0,41100.0,1791100.0,147254500.0
2022-10-14,92370.0,21536.9375,36.6656608581543,105.22557830810547,344.16864013671875,92370.0,21631.41847170432,37.06324098730728,109.61978924602137,356.32324558393805,92170.0,21362.147702347007,36.64357176252027,104.96075212213246,343.5238463354485,92170.0,21423.560333954814,37.06324098730728,109.42361477188302,354.6775896577082,4.0,39780.0,27700.0,1020400.0,123737000.0
2022-10-17,92165.0,21603.076171875,36.74959182739258,108.61933135986328,353.0127258300781,92370.0,21603.076171875,36.930709586870144,109.00186227689002,354.1290663964534,92165.0,21305.461083567952,36.74959182739258,107.60905701575201,343.83180779495996,92370.0,21324.35727965094,36.82468935277785,107.61886761147608,350.3084979310304,2.0,11876.0,34900.0,862500.0,93168200.0
2022-10-18,92265.0,21914.859375,36.77256393432617,109.58057403564453,357.1604919433594,92265.0,21966.82390466695,36.95722054927121,111.81691105950792,361.31789210184047,92100.0,21669.208871119852,36.72750608904335,108.43298121812923,353.68635881808774,92185.0,21966.82390466695,36.886538139871014,111.56188793896261,361.0099300081274,9.0,6837.0,34200.0,973100.0,97162900.0
2022-10-19,91835.0,21782.587890625,36.50662612915039,109.16860961914062,354.6294860839844,91985.0,22061.30675541504,36.612646365708216,110.39467213740011,357.8533963767061,91835.0,21744.795502178895,36.48012191259157,108.15832781812975,351.79051372870356,91985.0,21957.377687188247,36.57730853373731,108.9037759245532,355.10103285468335,5.0,20327.0,11300.0,1168700.0,79746900.0
2022-10-20,91540.0,21603.076171875,36.245994567871094,108.5506820678711,351.65582275390625,91640.0,21725.901446414417,36.445665969459064,110.87529956945878,358.642562804113,91540.0,21461.354701252596,36.241576074732855,108.10930250278264,350.88591745740626,91610.0,21725.901446414417,36.41827872671205,108.76647029375172,354.17720019106514,7.0,1723.0,11300.0,967700.0,88283100.0
2022-10-21,90920.0,21598.349609375,36.35200500488281,111.15973663330078,360.2015686035156,91165.0,21697.55462726583,36.35642349682915,111.32647934381689,360.6923520091851,90920.0,21484.972446071195,36.1090385026619,107.71695090364604,349.8562033143349,91165.0,21560.557221607065,36.1090385026619,108.10929241561303,351.37671849964545,8.0,250059.0,15100.0,846700.0,131038400.0
2022-10-24,91395.0,21763.689453125,36.37852478027344,112.37599182128906,364.6091613769531,91395.0,22004.61590463561,36.46776083009503,112.71928784791088,365.7543716015407,90960.0,21721.17302050548,36.32109784168862,109.74731334369724,359.0659609197145,90960.0,21929.031135534242,36.36527266908642,111.29705824478101,361.7413486875514,2.0,278911.0,7800.0,1743000.0,85436900.0
